Timestamp,PlateNumber,DetectionScore,OcrConfidence,CombinedScore
2025-09-07T08:17:32.368224+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.412720+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.463567+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.496572+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.540197+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.605641+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.644651+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.693143+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.769593+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.806705+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.853480+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.892721+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.969786+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.011346+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.065470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.101406+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.168315+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.209508+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.259249+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.291527+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.367129+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.407460+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.511354+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.550164+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.583982+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.622949+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.657626+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.693540+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.762911+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.803736+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.863054+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.897720+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.963562+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.003519+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.053827+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.089889+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.167238+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.204785+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.253488+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.288470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.362929+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.408744+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.443759+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.483744+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.526779+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.610308+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.647873+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.685848+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.764346+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.806213+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.861157+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.899019+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.966569+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.007869+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.046625+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.090052+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.163069+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.207760+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.249730+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.285311+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.366300+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.407579+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.452091+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.515689+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.573895+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.626659+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.662659+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.697844+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.768823+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.810861+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.850011+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.892950+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.968579+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.009940+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.054389+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.090558+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.163079+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.204690+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.244023+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.284421+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.363774+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.404451+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.449602+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.485801+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.527117+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.610025+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.645721+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.692173+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.762938+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.805639+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.843166+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.890658+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:36.968920+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:37.011922+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:37.052025+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:37.088268+00:00,GJ36AJ8335,0.85,0.991,0.9205
